0.00074 0.00057 0.00003 -0.00056 -0.00110 -0.00160 -0.00206 -0.00248 -0.00287 -0.00323 -0.00357 -0.00389 -0.00421 -0.00455 -0.00499 -0.00562 -0.00665 -0.00841 -0.01146 -0.01678 -0.02596 -0.04085 -0.05926 -0.04553 0.23581 0.00074 0.00057 0.00003 -0.00056 -0.00110 -0.00160 -0.00206 -0.00248 -0.00287 -0.00323 -0.00357 -0.00389 -0.00421 -0.00455 -0.00499 -0.00562 -0.00665 -0.00841 -0.01146 -0.01678 -0.02596 -0.04085 -0.05926 -0.04553 0.23581 
0.00053 -0.00044 -0.00211 -0.00391 -0.00566 -0.00730 -0.00883 -0.01026 -0.01158 -0.01281 -0.01395 -0.01501 -0.01603 -0.01710 -0.01839 -0.02016 -0.02286 -0.02712 -0.03390 -0.04429 -0.05886 -0.07452 -0.07253 0.02189 0.43771 0.00053 -0.00044 -0.00211 -0.00391 -0.00566 -0.00730 -0.00883 -0.01026 -0.01158 -0.01281 -0.01395 -0.01501 -0.01603 -0.01710 -0.01839 -0.02016 -0.02286 -0.02712 -0.03390 -0.04429 -0.05886 -0.07452 -0.07253 0.02189 0.43771 
-0.00029 -0.00276 -0.00598 -0.00938 -0.01270 -0.01586 -0.01884 -0.02163 -0.02422 -0.02661 -0.02880 -0.03080 -0.03266 -0.03450 -0.03654 -0.03914 -0.04281 -0.04821 -0.05602 -0.06626 -0.07658 -0.07697 -0.03624 0.12680 0.57262 -0.00029 -0.00276 -0.00598 -0.00938 -0.01270 -0.01586 -0.01884 -0.02163 -0.02422 -0.02661 -0.02880 -0.03080 -0.03266 -0.03450 -0.03654 -0.03914 -0.04281 -0.04821 -0.05602 -0.06626 -0.07658 -0.07697 -0.03624 0.12680 0.57262 
-0.00157 -0.00613 -0.01125 -0.01647 -0.02157 -0.02643 -0.03104 -0.03537 -0.03939 -0.04309 -0.04642 -0.04938 -0.05200 -0.05438 -0.05671 -0.05932 -0.06260 -0.06692 -0.07223 -0.07700 -0.07580 -0.05370 0.02471 0.22918 0.66135 -0.00157 -0.00613 -0.01125 -0.01647 -0.02157 -0.02643 -0.03104 -0.03537 -0.03939 -0.04309 -0.04642 -0.04938 -0.05200 -0.05438 -0.05671 -0.05932 -0.06260 -0.06692 -0.07223 -0.07700 -0.07580 -0.05370 0.02471 0.22918 0.66135 
-0.00317 -0.01022 -0.01747 -0.02465 -0.03159 -0.03822 -0.04451 -0.05044 -0.05594 -0.06096 -0.06543 -0.06927 -0.07246 -0.07501 -0.07702 -0.07866 -0.08008 -0.08117 -0.08104 -0.07671 -0.06055 -0.01540 0.09247 0.31774 0.72162 -0.00317 -0.01022 -0.01747 -0.02465 -0.03159 -0.03822 -0.04451 -0.05044 -0.05594 -0.06096 -0.06543 -0.06927 -0.07246 -0.07501 -0.07702 -0.07866 -0.08008 -0.08117 -0.08104 -0.07671 -0.06055 -0.01540 0.09247 0.31774 0.72162 
-0.00494 -0.01469 -0.02420 -0.03336 -0.04213 -0.05051 -0.05846 -0.06596 -0.07293 -0.07924 -0.08478 -0.08937 -0.09290 -0.09524 -0.09634 -0.09613 -0.09444 -0.09068 -0.08319 -0.06794 -0.03616 0.02945 0.15825 0.39150 0.76430 -0.00494 -0.01469 -0.02420 -0.03336 -0.04213 -0.05051 -0.05846 -0.06596 -0.07293 -0.07924 -0.08478 -0.08937 -0.09290 -0.09524 -0.09634 -0.09613 -0.09444 -0.09068 -0.08319 -0.06794 -0.03616 0.02945 0.15825 0.39150 0.76430 
-0.00673 -0.01924 -0.03098 -0.04208 -0.05261 -0.06265 -0.07219 -0.08120 -0.08956 -0.09712 -0.10366 -0.10890 -0.11257 -0.11440 -0.11411 -0.11139 -0.10572 -0.09608 -0.08026 -0.05361 -0.00707 0.07539 0.21842 0.45231 0.79568 -0.00673 -0.01924 -0.03098 -0.04208 -0.05261 -0.06265 -0.07219 -0.08120 -0.08956 -0.09712 -0.10366 -0.10890 -0.11257 -0.11440 -0.11411 -0.11139 -0.10572 -0.09608 -0.08026 -0.05361 -0.00707 0.07539 0.21842 0.45231 0.79568 
-0.00845 -0.02359 -0.03744 -0.05033 -0.06249 -0.07405 -0.08507 -0.09550 -0.10521 -0.11396 -0.12145 -0.12727 -0.13098 -0.13212 -0.13017 -0.12454 -0.11441 -0.09842 -0.07400 -0.03630 0.02345 0.11939 0.27173 0.50232 0.81943 -0.00845 -0.02359 -0.03744 -0.05033 -0.06249 -0.07405 -0.08507 -0.09550 -0.10521 -0.11396 -0.12145 -0.12727 -0.13098 -0.13212 -0.13017 -0.12454 -0.11441 -0.09842 -0.07400 -0.03630 0.02345 0.11939 0.27173 0.50232 0.81943 
-0.01000 -0.02749 -0.04321 -0.05768 -0.07127 -0.08420 -0.09656 -0.10831 -0.11930 -0.12922 -0.13765 -0.14406 -0.14783 -0.14824 -0.14455 -0.13590 -0.12120 -0.09881 -0.06602 -0.01806 0.05312 0.15973 0.31798 0.54335 0.83769 -0.01000 -0.02749 -0.04321 -0.05768 -0.07127 -0.08420 -0.09656 -0.10831 -0.11930 -0.12922 -0.13765 -0.14406 -0.14783 -0.14824 -0.14455 -0.13590 -0.12120 -0.09881 -0.06602 -0.01806 0.05312 0.15973 0.31798 0.54335 0.83769 
-0.01130 -0.03073 -0.04799 -0.06376 -0.07854 -0.09263 -0.10617 -0.11914 -0.13134 -0.14242 -0.15184 -0.15893 -0.16285 -0.16269 -0.15741 -0.14589 -0.12680 -0.09832 -0.05772 -0.00051 0.08042 0.19542 0.35728 0.57673 0.85175 -0.01130 -0.03073 -0.04799 -0.06376 -0.07854 -0.09263 -0.10617 -0.11914 -0.13134 -0.14242 -0.15184 -0.15893 -0.16285 -0.16269 -0.15741 -0.14589 -0.12680 -0.09832 -0.05772 -0.00051 0.08042 0.19542 0.35728 0.57673 0.85175 
