-0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 0.00000 
-0.00019 0.00019 0.00025 0.00020 0.00013 0.00004 -0.00004 -0.00011 -0.00019 -0.00025 -0.00032 -0.00038 -0.00044 -0.00050 -0.00055 -0.00060 -0.00065 -0.00069 -0.00073 -0.00077 -0.00080 -0.00082 -0.00084 -0.00086 -0.00087 -0.00088 -0.00089 -0.00089 -0.00090 -0.00090 -0.00092 -0.00094 -0.00098 -0.00104 -0.00114 -0.00128 -0.00149 -0.00178 -0.00220 -0.00279 -0.00363 -0.00483 -0.00657 -0.00914 -0.01305 -0.01914 -0.02881 -0.04370 -0.06141 -0.04629 0.23618 1.42046 0.00000 
-0.00024 0.00024 0.00029 0.00014 -0.00010 -0.00036 -0.00064 -0.00090 -0.00116 -0.00141 -0.00164 -0.00187 -0.00208 -0.00229 -0.00248 -0.00266 -0.00284 -0.00299 -0.00314 -0.00327 -0.00338 -0.00348 -0.00356 -0.00362 -0.00367 -0.00370 -0.00373 -0.00375 -0.00377 -0.00380 -0.00385 -0.00393 -0.00407 -0.00429 -0.00462 -0.00510 -0.00579 -0.00676 -0.00812 -0.00999 -0.01258 -0.01614 -0.02106 -0.02786 -0.03723 -0.04990 -0.06594 -0.08168 -0.07799 0.01955 0.43796 1.31508 0.00000 
-0.00022 0.00022 0.00016 -0.00018 -0.00064 -0.00117 -0.00171 -0.00225 -0.00278 -0.00329 -0.00377 -0.00424 -0.00469 -0.00512 -0.00552 -0.00590 -0.00626 -0.00659 -0.00689 -0.00716 -0.00740 -0.00760 -0.00777 -0.00791 -0.00801 -0.00809 -0.00814 -0.00818 -0.00823 -0.00828 -0.00838 -0.00854 -0.00881 -0.00922 -0.00984 -0.01074 -0.01202 -0.01380 -0.01625 -0.01957 -0.02404 -0.02998 -0.03779 -0.04788 -0.06045 -0.07489 -0.08797 -0.08880 -0.04573 0.12171 0.57162 1.20514 0.00000 
-0.00012 0.00012 -0.00017 -0.00076 -0.00152 -0.00237 -0.00324 -0.00411 -0.00497 -0.00580 -0.00660 -0.00737 -0.00811 -0.00881 -0.00948 -0.01011 -0.01071 -0.01125 -0.01175 -0.01220 -0.01260 -0.01294 -0.01322 -0.01345 -0.01362 -0.01375 -0.01384 -0.01390 -0.01396 -0.01404 -0.01417 -0.01440 -0.01477 -0.01536 -0.01625 -0.01754 -0.01936 -0.02187 -0.02527 -0.02980 -0.03572 -0.04331 -0.05279 -0.06412 -0.07656 -0.08767 -0.09081 -0.06993 0.01082 0.22045 0.65830 1.12970 0.00000 
0.00005 -0.00005 -0.00067 -0.00160 -0.00272 -0.00393 -0.00518 -0.00643 -0.00766 -0.00885 -0.01001 -0.01113 -0.01221 -0.01323 -0.01421 -0.01513 -0.01600 -0.01680 -0.01753 -0.01819 -0.01877 -0.01926 -0.01968 -0.02001 -0.02026 -0.02044 -0.02056 -0.02064 -0.02070 -0.02078 -0.02091 -0.02116 -0.02159 -0.02228 -0.02334 -0.02490 -0.02709 -0.03010 -0.03412 -0.03936 -0.04604 -0.05425 -0.06389 -0.07434 -0.08381 -0.08811 -0.07815 -0.03547 0.07427 0.30498 0.71620 1.08008 0.00000 
0.00029 -0.00029 -0.00133 -0.00268 -0.00420 -0.00583 -0.00749 -0.00915 -0.01078 -0.01238 -0.01393 -0.01542 -0.01686 -0.01824 -0.01956 -0.02080 -0.02196 -0.02304 -0.02403 -0.02492 -0.02570 -0.02638 -0.02693 -0.02738 -0.02771 -0.02794 -0.02808 -0.02815 -0.02819 -0.02823 -0.02832 -0.02852 -0.02892 -0.02961 -0.03070 -0.03233 -0.03465 -0.03783 -0.04204 -0.04742 -0.05406 -0.06185 -0.07032 -0.07820 -0.08279 -0.07858 -0.05510 0.00642 0.13618 0.37484 0.75661 1.04660 0.00000 
0.00057 -0.00057 -0.00213 -0.00395 -0.00594 -0.00801 -0.01011 -0.01220 -0.01427 -0.01629 -0.01825 -0.02014 -0.02197 -0.02373 -0.02540 -0.02698 -0.02847 -0.02985 -0.03111 -0.03224 -0.03325 -0.03410 -0.03481 -0.03537 -0.03578 -0.03605 -0.03620 -0.03624 -0.03622 -0.03617 -0.03615 -0.03623 -0.03649 -0.03704 -0.03800 -0.03949 -0.04165 -0.04464 -0.04858 -0.05353 -0.05941 -0.06590 -0.07213 -0.07632 -0.07501 -0.06188 -0.02594 0.05062 0.19332 0.43233 0.78611 1.02305 0.00000 
0.00091 -0.00091 -0.00304 -0.00540 -0.00788 -0.01043 -0.01300 -0.01555 -0.01805 -0.02051 -0.02289 -0.02521 -0.02744 -0.02958 -0.03163 -0.03356 -0.03539 -0.03708 -0.03863 -0.04003 -0.04125 -0.04231 -0.04317 -0.04384 -0.04433 -0.04462 -0.04475 -0.04474 -0.04461 -0.04441 -0.04421 -0.04407 -0.04408 -0.04435 -0.04498 -0.04610 -0.04784 -0.05029 -0.05354 -0.05754 -0.06207 -0.06656 -0.06985 -0.06969 -0.06214 -0.04043 0.00634 0.09433 0.24484 0.48004 0.80858 1.00573 0.00000 
0.00127 -0.00127 -0.00405 -0.00698 -0.00999 -0.01305 -0.01609 -0.01911 -0.02207 -0.02497 -0.02779 -0.03052 -0.03317 -0.03571 -0.03814 -0.04045 -0.04261 -0.04463 -0.04648 -0.04815 -0.04961 -0.05086 -0.05188 -0.05267 -0.05321 -0.05352 -0.05361 -0.05350 -0.05322 -0.05282 -0.05235 -0.05190 -0.05153 -0.05136 -0.05149 -0.05202 -0.05306 -0.05468 -0.05686 -0.05949 -0.06220 -0.06423 -0.06413 -0.05936 -0.04563 -0.01608 0.03973 0.13619 0.29095 0.52014 0.82635 0.99245 0.00000 
