-28.63696 -28.63696 -28.63708 -28.63701 -28.63685 -28.63663 -28.63640 -28.63617 -28.63597 -28.63582 -28.63573 -28.63570 -28.63576 -28.63592 -28.63618 -28.63655 -28.63705 -28.63768 -28.63845 -28.63936 -28.64043 -28.64165 -28.64304 -28.64459 -28.64631 -28.64819 -28.65024 -28.65246 -28.65484 -28.65737 -28.66007 -28.66292 -28.66592 -28.66910 -28.67244 -28.67598 -28.67975 -28.68381 -28.68823 -28.69316 -28.69881 -28.70551 -28.71378 -28.72453 -28.73929 -28.76086 -28.79469 -28.85212 -28.95837 -29.16948 -29.60972 -29.60972 
-28.63696 -28.63724 -28.63737 -28.63730 -28.63713 -28.63692 -28.63668 -28.63646 -28.63626 -28.63611 -28.63601 -28.63599 -28.63605 -28.63621 -28.63647 -28.63684 -28.63734 -28.63797 -28.63873 -28.63965 -28.64071 -28.64194 -28.64333 -28.64488 -28.64660 -28.64848 -28.65053 -28.65275 -28.65512 -28.65766 -28.66035 -28.66320 -28.66621 -28.66938 -28.67273 -28.67627 -28.68004 -28.68409 -28.68852 -28.69345 -28.69910 -28.70579 -28.71407 -28.72482 -28.73957 -28.76114 -28.79497 -28.85241 -28.95866 -29.16977 -29.61000 -29.60972 
-28.63720 -28.63748 -28.63752 -28.63744 -28.63731 -28.63714 -28.63696 -28.63679 -28.63665 -28.63655 -28.63651 -28.63654 -28.63665 -28.63685 -28.63715 -28.63757 -28.63811 -28.63877 -28.63957 -28.64051 -28.64161 -28.64285 -28.64426 -28.64583 -28.64756 -28.64945 -28.65151 -28.65373 -28.65611 -28.65866 -28.66137 -28.66424 -28.66728 -28.67050 -28.67392 -28.67757 -28.68149 -28.68575 -28.69045 -28.69576 -28.70191 -28.70926 -28.71838 -28.73016 -28.74604 -28.76835 -28.80088 -28.84942 -28.92079 -29.01380 -29.08206 -29.08177 
-28.63745 -28.63773 -28.63771 -28.63761 -28.63749 -28.63734 -28.63720 -28.63707 -28.63697 -28.63691 -28.63691 -28.63698 -28.63713 -28.63736 -28.63770 -28.63815 -28.63872 -28.63941 -28.64024 -28.64121 -28.64232 -28.64359 -28.64501 -28.64659 -28.64833 -28.65024 -28.65231 -28.65454 -28.65693 -28.65948 -28.66220 -28.66509 -28.66815 -28.67140 -28.67486 -28.67856 -28.68256 -28.68691 -28.69172 -28.69715 -28.70342 -28.71085 -28.71992 -28.73131 -28.74601 -28.76537 -28.79096 -28.82377 -28.86130 -28.88889 -28.86508 -28.86479 
-28.63773 -28.63802 -28.63794 -28.63782 -28.63768 -28.63755 -28.63742 -28.63731 -28.63724 -28.63721 -28.63724 -28.63734 -28.63752 -28.63779 -28.63816 -28.63863 -28.63922 -28.63994 -28.64079 -28.64178 -28.64291 -28.64420 -28.64564 -28.64723 -28.64899 -28.65090 -28.65298 -28.65522 -28.65762 -28.66018 -28.66290 -28.66580 -28.66886 -28.67212 -28.67558 -28.67928 -28.68326 -28.68758 -28.69233 -28.69765 -28.70369 -28.71071 -28.71904 -28.72908 -28.74136 -28.75633 -28.77407 -28.79323 -28.80876 -28.80727 -28.76890 -28.76861 
-28.63802 -28.63831 -28.63818 -28.63803 -28.63788 -28.63774 -28.63762 -28.63753 -28.63748 -28.63747 -28.63752 -28.63765 -28.63785 -28.63814 -28.63853 -28.63903 -28.63964 -28.64038 -28.64125 -28.64225 -28.64341 -28.64471 -28.64616 -28.64777 -28.64954 -28.65147 -28.65356 -28.65581 -28.65821 -28.66078 -28.66350 -28.66639 -28.66944 -28.67267 -28.67609 -28.67973 -28.68362 -28.68780 -28.69234 -28.69734 -28.70290 -28.70918 -28.71635 -28.72461 -28.73407 -28.74467 -28.75572 -28.76515 -28.76826 -28.75599 -28.72127 -28.72099 
-28.63831 -28.63860 -28.63842 -28.63824 -28.63807 -28.63792 -28.63780 -28.63772 -28.63767 -28.63768 -28.63775 -28.63789 -28.63811 -28.63842 -28.63883 -28.63935 -28.63998 -28.64073 -28.64162 -28.64265 -28.64382 -28.64514 -28.64661 -28.64824 -28.65002 -28.65197 -28.65407 -28.65633 -28.65874 -28.66130 -28.66402 -28.66689 -28.66991 -28.67309 -28.67644 -28.67997 -28.68369 -28.68765 -28.69187 -28.69641 -28.70133 -28.70669 -28.71255 -28.71893 -28.72574 -28.73260 -28.73861 -28.74176 -28.73848 -28.72342 -28.69515 -28.69487 
-28.63857 -28.63886 -28.63864 -28.63843 -28.63824 -28.63808 -28.63796 -28.63787 -28.63784 -28.63786 -28.63794 -28.63809 -28.63832 -28.63865 -28.63907 -28.63961 -28.64025 -28.64103 -28.64193 -28.64298 -28.64417 -28.64551 -28.64700 -28.64865 -28.65045 -28.65242 -28.65453 -28.65680 -28.65922 -28.66179 -28.66450 -28.66734 -28.67032 -28.67343 -28.67667 -28.68005 -28.68357 -28.68724 -28.69107 -28.69508 -28.69928 -28.70367 -28.70823 -28.71288 -28.71740 -28.72134 -28.72379 -28.72315 -28.71690 -28.70215 -28.67960 -28.67931 
-28.63880 -28.63908 -28.63883 -28.63859 -28.63838 -28.63821 -28.63808 -28.63800 -28.63796 -28.63799 -28.63808 -28.63824 -28.63849 -28.63883 -28.63927 -28.63981 -28.64048 -28.64127 -28.64220 -28.64326 -28.64447 -28.64583 -28.64735 -28.64902 -28.65085 -28.65284 -28.65498 -28.65727 -28.65970 -28.66226 -28.66496 -28.66777 -28.67070 -28.67373 -28.67685 -28.68006 -28.68334 -28.68669 -28.69010 -28.69355 -28.69703 -28.70049 -28.70386 -28.70701 -28.70969 -28.71145 -28.71153 -28.70869 -28.70132 -28.68791 -28.66979 -28.66950 
-28.63898 -28.63926 -28.63898 -28.63872 -28.63849 -28.63831 -28.63817 -28.63809 -28.63806 -28.63809 -28.63818 -28.63836 -28.63861 -28.63896 -28.63942 -28.63998 -28.64066 -28.64147 -28.64242 -28.64351 -28.64475 -28.64613 -28.64768 -28.64938 -28.65124 -28.65326 -28.65542 -28.65773 -28.66018 -28.66275 -28.66543 -28.66822 -28.67109 -28.67403 -28.67702 -28.68005 -28.68308 -28.68611 -28.68909 -28.69201 -28.69480 -28.69742 -28.69976 -28.70168 -28.70294 -28.70313 -28.70167 -28.69766 -28.69010 -28.67822 -28.66343 -28.66314 
