0.00000 -0.00002 -0.00005 -0.00007 -0.00010 -0.00013 -0.00016 -0.00020 -0.00024 -0.00029 -0.00034 -0.00041 -0.00048 -0.00058 -0.00069 -0.00082 -0.00098 -0.00118 -0.00142 -0.00172 -0.00210 -0.00256 -0.00314 -0.00386 -0.00475 -0.00586 -0.00724 -0.00894 -0.01103 -0.01358 -0.01669 -0.02045 -0.02497 -0.03040 -0.03688 -0.04460 -0.05377 -0.06465 -0.07757 -0.09297 -0.11142 -0.13370 -0.16091 -0.19465 -0.23725 -0.29214 -0.36419 -0.45974 -0.57686 -0.65585 0.00000 -0.00000 
0.00000 0.00002 0.00005 0.00007 0.00010 0.00013 0.00016 0.00020 0.00024 0.00029 0.00034 0.00041 0.00049 0.00058 0.00069 0.00082 0.00098 0.00118 0.00142 0.00172 0.00210 0.00256 0.00314 0.00386 0.00475 0.00586 0.00724 0.00894 0.01103 0.01358 0.01669 0.02045 0.02497 0.03040 0.03688 0.04460 0.05377 0.06465 0.07757 0.09297 0.11142 0.13370 0.16091 0.19465 0.23725 0.29214 0.36419 0.45974 0.57686 0.65585 0.11200 0.00000 
0.00000 0.00007 0.00014 0.00021 0.00029 0.00038 0.00048 0.00059 0.00071 0.00085 0.00102 0.00121 0.00144 0.00171 0.00203 0.00242 0.00289 0.00345 0.00415 0.00500 0.00604 0.00732 0.00889 0.01083 0.01322 0.01613 0.01970 0.02403 0.02928 0.03561 0.04319 0.05223 0.06296 0.07562 0.09049 0.10790 0.12821 0.15184 0.17931 0.21122 0.24830 0.29145 0.34175 0.40045 0.46888 0.54802 0.63733 0.73299 0.80720 0.89274 0.16795 0.00000 
0.00000 0.00011 0.00023 0.00035 0.00048 0.00063 0.00079 0.00096 0.00117 0.00140 0.00167 0.00198 0.00235 0.00279 0.00331 0.00393 0.00467 0.00557 0.00666 0.00798 0.00958 0.01154 0.01393 0.01683 0.02036 0.02464 0.02980 0.03600 0.04342 0.05225 0.06271 0.07501 0.08940 0.10615 0.12554 0.14787 0.17347 0.20269 0.23591 0.27351 0.31591 0.36346 0.41641 0.47472 0.53764 0.60303 0.66574 0.71530 0.72941 0.74510 0.13217 0.00000 
0.00000 0.00016 0.00032 0.00049 0.00067 0.00086 0.00108 0.00132 0.00160 0.00192 0.00228 0.00271 0.00320 0.00379 0.00448 0.00531 0.00629 0.00747 0.00889 0.01059 0.01265 0.01514 0.01814 0.02176 0.02611 0.03133 0.03756 0.04497 0.05373 0.06404 0.07610 0.09012 0.10633 0.12494 0.14619 0.17030 0.19749 0.22797 0.26192 0.29944 0.34055 0.38509 0.43259 0.48199 0.53128 0.57674 0.61205 0.62774 0.61532 0.57646 0.09513 0.00000 
0.00000 0.00020 0.00040 0.00061 0.00084 0.00108 0.00135 0.00166 0.00200 0.00239 0.00284 0.00337 0.00398 0.00469 0.00554 0.00653 0.00772 0.00912 0.01080 0.01281 0.01521 0.01809 0.02153 0.02563 0.03052 0.03633 0.04320 0.05129 0.06076 0.07178 0.08454 0.09921 0.11598 0.13502 0.15648 0.18050 0.20719 0.23662 0.26876 0.30350 0.34054 0.37933 0.41890 0.45765 0.49302 0.52108 0.53648 0.53354 0.51005 0.44359 0.06884 0.00000 
0.00000 0.00023 0.00047 0.00072 0.00099 0.00128 0.00160 0.00196 0.00236 0.00282 0.00335 0.00396 0.00467 0.00549 0.00646 0.00759 0.00893 0.01051 0.01239 0.01462 0.01726 0.02040 0.02412 0.02852 0.03373 0.03985 0.04702 0.05539 0.06509 0.07629 0.08913 0.10375 0.12029 0.13886 0.15956 0.18245 0.20752 0.23473 0.26391 0.29475 0.32675 0.35911 0.39061 0.41946 0.44313 0.45833 0.46145 0.44984 0.42202 0.34535 0.05104 0.00000 
0.00000 0.00027 0.00054 0.00083 0.00113 0.00146 0.00182 0.00223 0.00268 0.00320 0.00379 0.00447 0.00526 0.00617 0.00723 0.00848 0.00993 0.01165 0.01366 0.01603 0.01883 0.02212 0.02599 0.03054 0.03587 0.04209 0.04932 0.05768 0.06730 0.07830 0.09080 0.10492 0.12074 0.13833 0.15773 0.17892 0.20183 0.22631 0.25208 0.27872 0.30560 0.33181 0.35607 0.37669 0.39153 0.39821 0.39462 0.37967 0.35058 0.27269 0.03878 0.00000 
0.00000 0.00030 0.00060 0.00092 0.00125 0.00162 0.00202 0.00246 0.00296 0.00353 0.00417 0.00491 0.00575 0.00673 0.00787 0.00919 0.01073 0.01252 0.01462 0.01708 0.01995 0.02331 0.02723 0.03180 0.03712 0.04328 0.05038 0.05853 0.06784 0.07840 0.09031 0.10365 0.11846 0.13478 0.15259 0.17183 0.19236 0.21396 0.23628 0.25885 0.28098 0.30176 0.32000 0.33426 0.34291 0.34439 0.33760 0.32189 0.29300 0.21833 0.03012 0.00000 
0.00000 0.00032 0.00065 0.00099 0.00136 0.00175 0.00218 0.00266 0.00319 0.00380 0.00448 0.00526 0.00615 0.00718 0.00837 0.00974 0.01133 0.01317 0.01531 0.01779 0.02068 0.02404 0.02793 0.03243 0.03763 0.04361 0.05046 0.05826 0.06711 0.07709 0.08824 0.10064 0.11430 0.12920 0.14531 0.16252 0.18065 0.19943 0.21850 0.23735 0.25531 0.27155 0.28503 0.29463 0.29918 0.29773 0.28971 0.27440 0.24637 0.17701 0.02383 0.00000 
