-0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.00000 0.00000 
-0.00019 0.00019 0.00025 0.00020 0.00013 0.00004 -0.00004 -0.00011 -0.00018 -0.00025 -0.00031 -0.00038 -0.00043 -0.00049 -0.00054 -0.00059 -0.00064 -0.00068 -0.00072 -0.00076 -0.00079 -0.00081 -0.00083 -0.00085 -0.00086 -0.00087 -0.00088 -0.00088 -0.00089 -0.00090 -0.00091 -0.00093 -0.00097 -0.00104 -0.00113 -0.00127 -0.00148 -0.00177 -0.00219 -0.00277 -0.00361 -0.00480 -0.00653 -0.00909 -0.01298 -0.01905 -0.02871 -0.04359 -0.06140 -0.04662 0.23571 1.42458 0.00000 
-0.00024 0.00024 0.00029 0.00014 -0.00010 -0.00036 -0.00063 -0.00089 -0.00115 -0.00139 -0.00162 -0.00185 -0.00206 -0.00226 -0.00245 -0.00263 -0.00280 -0.00296 -0.00310 -0.00323 -0.00334 -0.00344 -0.00352 -0.00358 -0.00363 -0.00367 -0.00370 -0.00372 -0.00374 -0.00377 -0.00382 -0.00391 -0.00405 -0.00426 -0.00459 -0.00507 -0.00576 -0.00672 -0.00807 -0.00993 -0.01250 -0.01605 -0.02095 -0.02772 -0.03706 -0.04972 -0.06578 -0.08162 -0.07826 0.01868 0.43707 1.31835 0.00000 
-0.00021 0.00021 0.00015 -0.00018 -0.00064 -0.00116 -0.00170 -0.00223 -0.00275 -0.00325 -0.00373 -0.00419 -0.00463 -0.00505 -0.00545 -0.00583 -0.00618 -0.00651 -0.00681 -0.00708 -0.00732 -0.00752 -0.00769 -0.00783 -0.00794 -0.00801 -0.00807 -0.00812 -0.00816 -0.00822 -0.00832 -0.00848 -0.00875 -0.00916 -0.00978 -0.01068 -0.01195 -0.01372 -0.01616 -0.01946 -0.02390 -0.02982 -0.03760 -0.04766 -0.06022 -0.07469 -0.08788 -0.08900 -0.04648 0.12034 0.57052 1.20753 0.00000 
-0.00011 0.00011 -0.00017 -0.00076 -0.00151 -0.00235 -0.00321 -0.00407 -0.00492 -0.00573 -0.00652 -0.00728 -0.00801 -0.00871 -0.00937 -0.01000 -0.01058 -0.01113 -0.01162 -0.01207 -0.01246 -0.01280 -0.01309 -0.01332 -0.01349 -0.01363 -0.01372 -0.01379 -0.01385 -0.01393 -0.01407 -0.01430 -0.01468 -0.01527 -0.01615 -0.01744 -0.01925 -0.02175 -0.02513 -0.02964 -0.03553 -0.04310 -0.05255 -0.06387 -0.07635 -0.08756 -0.09094 -0.07052 0.00957 0.21869 0.65714 1.13152 0.00000 
0.00006 -0.00006 -0.00067 -0.00159 -0.00270 -0.00390 -0.00513 -0.00636 -0.00758 -0.00876 -0.00990 -0.01100 -0.01206 -0.01308 -0.01404 -0.01495 -0.01581 -0.01660 -0.01733 -0.01798 -0.01856 -0.01906 -0.01948 -0.01981 -0.02007 -0.02025 -0.02038 -0.02047 -0.02053 -0.02062 -0.02076 -0.02101 -0.02145 -0.02215 -0.02321 -0.02475 -0.02694 -0.02993 -0.03394 -0.03916 -0.04581 -0.05401 -0.06365 -0.07413 -0.08369 -0.08819 -0.07860 -0.03650 0.07258 0.30296 0.71506 1.08153 0.00000 
0.00029 -0.00029 -0.00133 -0.00266 -0.00417 -0.00578 -0.00742 -0.00905 -0.01067 -0.01224 -0.01377 -0.01525 -0.01667 -0.01803 -0.01933 -0.02055 -0.02171 -0.02278 -0.02376 -0.02464 -0.02542 -0.02610 -0.02666 -0.02711 -0.02745 -0.02768 -0.02783 -0.02792 -0.02796 -0.02801 -0.02811 -0.02832 -0.02873 -0.02943 -0.03052 -0.03215 -0.03447 -0.03764 -0.04183 -0.04720 -0.05383 -0.06163 -0.07012 -0.07809 -0.08285 -0.07893 -0.05592 0.00498 0.13413 0.37265 0.75550 1.04781 0.00000 
0.00057 -0.00057 -0.00212 -0.00393 -0.00589 -0.00794 -0.01001 -0.01208 -0.01411 -0.01610 -0.01804 -0.01991 -0.02171 -0.02345 -0.02510 -0.02666 -0.02814 -0.02950 -0.03076 -0.03189 -0.03289 -0.03374 -0.03446 -0.03502 -0.03544 -0.03572 -0.03588 -0.03594 -0.03593 -0.03589 -0.03588 -0.03598 -0.03625 -0.03681 -0.03777 -0.03927 -0.04144 -0.04443 -0.04836 -0.05331 -0.05921 -0.06573 -0.07204 -0.07637 -0.07530 -0.06255 -0.02714 0.04879 0.19098 0.43005 0.78505 1.02409 0.00000 
0.00090 -0.00090 -0.00302 -0.00536 -0.00782 -0.01033 -0.01287 -0.01538 -0.01786 -0.02027 -0.02263 -0.02491 -0.02711 -0.02923 -0.03125 -0.03317 -0.03497 -0.03665 -0.03819 -0.03958 -0.04081 -0.04186 -0.04273 -0.04341 -0.04390 -0.04422 -0.04436 -0.04436 -0.04425 -0.04407 -0.04389 -0.04377 -0.04379 -0.04407 -0.04472 -0.04585 -0.04760 -0.05007 -0.05333 -0.05735 -0.06191 -0.06648 -0.06988 -0.06993 -0.06269 -0.04143 0.00477 0.09216 0.24228 0.47771 0.80756 1.00666 0.00000 
0.00126 -0.00126 -0.00402 -0.00692 -0.00990 -0.01292 -0.01593 -0.01890 -0.02183 -0.02468 -0.02747 -0.03017 -0.03277 -0.03528 -0.03769 -0.03997 -0.04212 -0.04412 -0.04596 -0.04762 -0.04908 -0.05033 -0.05136 -0.05215 -0.05271 -0.05304 -0.05314 -0.05305 -0.05280 -0.05242 -0.05197 -0.05154 -0.05120 -0.05105 -0.05120 -0.05175 -0.05282 -0.05445 -0.05667 -0.05935 -0.06213 -0.06426 -0.06433 -0.05982 -0.04646 -0.01740 0.03783 0.13374 0.28822 0.51779 0.82536 0.99330 0.00000 
0.00165 -0.00165 -0.00508 -0.00858 -0.01212 -0.01565 -0.01914 -0.02259 -0.02597 -0.02926 -0.03248 -0.03560 -0.03862 -0.04153 -0.04432 -0.04697 -0.04948 -0.05181 -0.05396 -0.05589 -0.05760 -0.05905 -0.06023 -0.06114 -0.06175 -0.06208 -0.06212 -0.06191 -0.06145 -0.06081 -0.06003 -0.05919 -0.05836 -0.05764 -0.05712 -0.05690 -0.05704 -0.05758 -0.05846 -0.05947 -0.06013 -0.05954 -0.05605 -0.04694 -0.02779 0.00822 0.07083 0.17295 0.32934 0.55197 0.83988 0.98270 0.00000 
